Almoxarifado;Custo Líquido Atualizado;Custo Bruto Atualizado;SKU;Nome;Operação
FATURAMENTO VD ES;119.71;140.03;6.28.60.07.110;Bicicleta Infantil  Black Aro 12'' até 21kg Verde e Preto - Nathor;VITRINE
FATURAMENTO VD ES;119.71;140.03;6.28.60.08.70;Bicicleta Aro 12 Fire Man Nathor Vermelho e Azul;VITRINE
FATURAMENTO VD ES;119.71;140.03;6.28.60.08.70;Bicicleta Infantil FireMan Aro 12'' até 21kg Vermelho e Azul - Nathor;VITRINE
FULFILLMENT VISUAL IN;119.71;140.03;6.28.60.08.70;Bicicleta Infantil FireMan Aro 12'' até 21kg Vermelho e Azul - Nathor;VISUAL IN
FATURAMENTO VD ES;125.99;147.38;6.28.60.09.114;Bicicleta Infantil com Rodinhas Violet Aro 12 até 21kg Rosa e Lilás - Nathor;VITRINE
FATURAMENTO VD RJ;119.71;140.03;6.28.60.09.114;Bicicleta Infantil com Rodinhas Violet Aro 12 até 21kg Rosa e Lilás - Nathor;VITRINE
FULFILLMENT VISUAL IN;278.26;348.44;6.28.60.09.114;Bicicleta Infantil com Rodinhas Violet Aro 12 até 21kg Rosa e Lilás - Nathor;VISUAL IN
FATURAMENTO VD ES;119.71;140.03;6.28.60.10.114;Bicicleta Infantil com Rodinhas Flower Aro 12'' até 21kg Rosa e Lilás - Nathor;VITRINE
FULFILLMENT VISUAL IN;267.83;335.37;6.28.60.10.114;Bicicleta Infantil com Rodinhas Flower Aro 12'' até 21kg Rosa e Lilás - Nathor;VISUAL IN
FATURAMENTO VD ES;119.71;140.03;6.28.60.14.72;Bicicleta Infantil Charm Aro 12'' até 21 kg Azul e Rosa - Nathor;VITRINE
FULFILLMENT MAGALU;341.24;387.77;6.28.60.15.11;Bicicleta com Rodinhas Aro 16 Antonella ABS 5 anos até 30 kg Verde - Nathor;VITRINE
FATURAMENTO VD RJ;341.24;387.77;6.28.60.15.11;Bicicleta com Rodinhas Aro 16 Antonella ABS 5 anos até 30 kg Verde - Nathor;VITRINE
FATURAMENTO BBTOTAL ES;189.19;189.19;6.28.60.20.07;Bicicleta Aro 16 Apollo 2 Nathor Azul;BB TOTAL
FATURAMENTO BBTOTAL ES;189.19;189.19;6.28.60.20.07;Bicicleta com Rodinhas Aro 16 Apollo 2 até 30 kg Azul - Nathor;BB TOTAL
FATURAMENTO VD ES;462.83;541.41;6.28.60.23.69;Bicicleta Infantil com Rodinhas Aro 14 Cecizinha 2024 Colorida - Caloi;VITRINE
FATURAMENTO VD RJ;462.82;541.41;6.28.60.23.69;Bicicleta Infantil com Rodinhas Aro 14 Cecizinha 2024 Colorida - Caloi;VITRINE
FULFILLMENT VISUAL IN;863.9;1081.77;6.28.60.23.69;Bicicleta Infantil com Rodinhas Aro 14 Cecizinha 2024 Colorida - Caloi;VISUAL IN
FATURAMENTO BBTOTAL ES;257.57;257.57;6.28.60.23.69;Bicicleta Infantil com Rodinhas Aro 14 Cecizinha 2024 Colorida - Caloi;BB TOTAL
FATURAMENTO VD RJ;120.83;141.57;6.28.60.24.113;Bicicleta Infantil Balance Cecizinha Roxo - Nathor;VITRINE
FATURAMENTO VD ES;120.83;141.57;6.28.60.24.113;Bicicleta Infantil Balance Cecizinha Roxo - Nathor;VITRINE
FATURAMENTO VD ES;120.83;141.57;6.28.60.25.08;Bicicleta Infantil Balance Caloi 02 Vermelho - Nathor;VITRINE
FATURAMENTO VD RJ;120.84;141.57;6.28.60.25.08;Bicicleta Infantil Balance Caloi 02 Vermelho - Nathor;VITRINE
FATURAMENTO VD ES;462.83;541.41;6.28.60.26.08;Bicicleta Infantil Zigbim Caloi Aro 14 Vermelho - Nathor;VITRINE
FULFILLMENT VISUAL IN;741.51;878.59;6.30.162.01.06;Moto Elétrica Infantil Road Custom 12V Branco - Bang Toys;VISUAL IN
FULFILLMENT VISUAL IN;863.74;1023.42;6.30.162.02.08;Trator Elétrico Infantil com Caçamba 12V Vermelho - Bang Toys;VISUAL IN
FULFILLMENT VISUAL IN;670.0;800.0;6.30.162.03.11;Trator Elétrico Infantil com Caçamba 12V Verde - Bang Toys;VISUAL IN
FULFILLMENT VISUAL IN;388.44;463.81;6.30.162.04.18;Moto Elétrica Infantil Scooter Lemn 6V Rosa - Bang Toy;VISUAL IN
FULFILLMENT VISUAL IN;388.45;463.82;6.30.162.05.11;Moto Elétrica Infantil Scooter Lemn 6V Verde - Bang Toy;VISUAL IN
FATURAMENTO VD RJ;586.25;700.0;6.30.162.06.06;Carro Elétrico Mini Esportivo 12V Bivolt com Controle e Capacidade até 30kg - Bang Toys;VITRINE
FATURAMENTO VISUAL IN SP;1324.17;1248.33;6.30.162.06.06;Carro Elétrico Mini Esportivo 12V Bivolt com Controle e Capacidade até 30kg - Bang Toys;VISUAL IN
FULFILLMENT VISUAL IN;1324.17;1248.33;6.30.162.06.06;Carro Elétrico Mini Esportivo 12V Bivolt com Controle e Capacidade até 30kg - Bang Toys;VISUAL IN
FATURAMENTO VD RJ;678.8;810.51;6.30.162.07.08;Jipe Infantil Elétrico Aventura 12V até 30 kgs Vermelho - Bang Toys;VITRINE
FATURAMENTO VISUAL IN SP;744.66;744.66;6.30.162.07.08;Jipe Infantil Elétrico Aventura 12V até 30 kgs Vermelho - Bang Toys;VISUAL IN
FULFILLMENT VISUAL IN;744.66;744.66;6.30.162.07.08;Jipe Infantil Elétrico Aventura 12V até 30 kgs Vermelho - Bang Toys;VISUAL IN
FULFILLMENT VISUAL IN;1607.4;1845.04;6.30.162.08.08;Moto Elétrica Esportiva 12V Bivolt Vermelho - Bang Toys;VISUAL IN
FATURAMENTO VD RJ;1456.41;1739.0;6.30.162.10.08;Jipe Elétrico Infantil 4x4 com 2 lugares Bivolt Vermelho - Bang Toy;VITRINE
FATURAMENTO VISUAL IN SP;1597.7;1597.7;6.30.162.10.08;Jipe Elétrico Infantil 4x4 com 2 lugares Bivolt Vermelho - Bang Toy;VISUAL IN
FULFILLMENT VISUAL IN;1597.7;1597.7;6.30.162.10.08;Jipe Elétrico Infantil 4x4 com 2 lugares Bivolt Vermelho - Bang Toy;VISUAL IN
FATURAMENTO VD ES;124.34;145.68;6.67.60.01.113;Triciclo Infantil Princesas Roxa - Nathor;VITRINE
FATURAMENTO VD RJ;124.34;145.68;6.67.60.01.113;Triciclo Infantil Princesas Roxa - Nathor;VITRINE
FATURAMENTO VD RJ;124.34;145.68;6.67.60.02.07;Triciclo Infantil Spider Man Azul - Nathor;VITRINE
FATURAMENTO VD ES;124.34;145.68;6.67.60.02.07;Triciclo Infantil Spider Man Azul - Nathor;VITRINE
FATURAMENTO VD ES;161.34;185.92;7.10.49.01.20;Panela de pressão elétrica multifuncional 4L - Mollie - 110V -  Inox + Livro de Receitas;VITRINE
FATURAMENTO VD RJ;145.37;167.12;7.10.49.01.20;Panela de pressão elétrica multifuncional 4L - Mollie - 110V -  Inox + Livro de Receitas;VITRINE
FATURAMENTO VD ES;150.43;172.69;7.10.49.02.20;Panela de pressão elétrica multifuncional  4L - Mollie - 220V -  Inox + Livro de Receitas;VITRINE
FATURAMENTO VD ES;2.0;2.08;7.10.49.05.00;SPARE PARTS SILICONE RING Anel de veda o desilicone da panela de presso;VITRINE
FATURAMENTO VD ES;15.11;17.35;7.10.49.06.00;SPARE PARTS OUTER CARTON Caixa de papelo,embalagem da panela de presso;VITRINE
FATURAMENTO VD ES;21.61;24.81;7.10.49.08.00;SPARE PARTS PCB BOARD Placa PCB do painel dapanela de presso;VITRINE
FATURAMENTO VD ES;5.31;6.1;7.10.49.09.00;SPARE PARTS PLASTIC BASE Base de pl stico da panelade p;VITRINE
FATURAMENTO VD ES;1.77;2.03;7.10.49.10.00;SPARE PARTS SILICONE RING Anel Superior de veda o desilicone da panela de presso;VITRINE
FATURAMENTO VD RJ;336.38;475.2;8.01.01.11.27;Banheira de Bebê Smile com Suporte Grey - Safety 1st;VITRINE
FULFILLMENT AMAZON;336.37;475.2;8.01.01.11.27;Banheira de Bebê Smile com Suporte Grey - Safety 1st;VITRINE
FULFILLMENT MELI;336.37;475.2;8.01.01.11.27;Banheira de Bebê Smile com Suporte Grey - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;200.53;237.6;8.01.01.11.27;Banheira de Bebê Smile com Suporte Grey - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;336.38;475.2;8.01.01.11.27;Banheira de Bebê Smile com Suporte Safety 1st Grey;VITRINE
FULFILLMENT AMAZON;336.37;475.2;8.01.01.11.27;Banheira de Bebê Smile com Suporte Safety 1st Grey;VITRINE
FULFILLMENT MELI;336.37;475.2;8.01.01.11.27;Banheira de Bebê Smile com Suporte Safety 1st Grey;VITRINE
FATURAMENTO BBTOTAL ES;200.53;237.6;8.01.01.11.27;Banheira de Bebê Smile com Suporte Safety 1st Grey;BB TOTAL
FATURAMENTO VD RJ;336.38;475.2;8.01.01.12.24;Banheira de Bebê Smile com Suporte Aqua Green - Safety 1st;VITRINE
FULFILLMENT AMAZON;336.37;475.2;8.01.01.12.24;Banheira de Bebê Smile com Suporte Aqua Green - Safety 1st;VITRINE
FULFILLMENT MELI;336.37;475.2;8.01.01.12.24;Banheira de Bebê Smile com Suporte Aqua Green - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;237.6;237.6;8.01.01.12.24;Banheira de Bebê Smile com Suporte Aqua Green - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;336.38;475.2;8.01.01.12.24;Banheira de Bebê Smile com Suporte Safety 1st Aqua Green;VITRINE
FULFILLMENT AMAZON;336.37;475.2;8.01.01.12.24;Banheira de Bebê Smile com Suporte Safety 1st Aqua Green;VITRINE
FULFILLMENT MELI;336.37;475.2;8.01.01.12.24;Banheira de Bebê Smile com Suporte Safety 1st Aqua Green;VITRINE
FATURAMENTO BBTOTAL ES;237.6;237.6;8.01.01.12.24;Banheira de Bebê Smile com Suporte Safety 1st Aqua Green;BB TOTAL
FATURAMENTO VD RJ;159.4;225.19;8.01.01.13.10;Banheira de Bebê Smile Grey - Safety 1st;VITRINE
FULFILLMENT MELI;159.44;225.25;8.01.01.13.10;Banheira de Bebê Smile Grey - Safety 1st;VITRINE
FULFILLMENT AMAZON;159.44;225.25;8.01.01.13.10;Banheira de Bebê Smile Grey - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;112.63;112.63;8.01.01.13.10;Banheira de Bebê Smile Grey - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;159.4;225.19;8.01.01.13.10;Banheira de Bebê Smile Safety 1st Grey;VITRINE
FULFILLMENT MELI;159.44;225.25;8.01.01.13.10;Banheira de Bebê Smile Safety 1st Grey;VITRINE
FULFILLMENT AMAZON;159.44;225.25;8.01.01.13.10;Banheira de Bebê Smile Safety 1st Grey;VITRINE
FATURAMENTO VD RJ;159.04;224.69;8.01.01.14.11;Banheira de Bebê Smile Aqua Green - Safety 1st;VITRINE
FULFILLMENT AMAZON;159.44;225.25;8.01.01.14.11;Banheira de Bebê Smile Aqua Green - Safety 1st;VITRINE
FULFILLMENT MAGALU;141.1;199.33;8.01.01.14.11;Banheira de Bebê Smile Aqua Green - Safety 1st;VITRINE
FULFILLMENT MELI;159.44;225.25;8.01.01.14.11;Banheira de Bebê Smile Aqua Green - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;105.89;105.89;8.01.01.14.11;Banheira de Bebê Smile Aqua Green - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;159.04;224.69;8.01.01.14.11;Banheira de Bebê Smile Safety 1st Aqua Green;VITRINE
FULFILLMENT AMAZON;159.44;225.25;8.01.01.14.11;Banheira de Bebê Smile Safety 1st Aqua Green;VITRINE
FULFILLMENT MAGALU;141.1;199.33;8.01.01.14.11;Banheira de Bebê Smile Safety 1st Aqua Green;VITRINE
FULFILLMENT MELI;159.44;225.25;8.01.01.14.11;Banheira de Bebê Smile Safety 1st Aqua Green;VITRINE
FATURAMENTO VD RJ;159.45;225.25;8.01.01.15.18;Banheira de Bebê Smile Pink - Safety 1st;VITRINE
FULFILLMENT MELI;159.45;225.25;8.01.01.15.18;Banheira de Bebê Smile Pink - Safety 1st;VITRINE
FULFILLMENT MAGALU;141.1;196.08;8.01.01.15.18;Banheira de Bebê Smile Pink - Safety 1st;VITRINE
FULFILLMENT AMAZON;159.45;225.25;8.01.01.15.18;Banheira de Bebê Smile Pink - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;82.75;98.04;8.01.01.15.18;Banheira de Bebê Smile Pink - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;159.45;225.25;8.01.01.15.18;Banheira de Bebê Smile Safety 1st Pink;VITRINE
FULFILLMENT MELI;159.45;225.25;8.01.01.15.18;Banheira de Bebê Smile Safety 1st Pink;VITRINE
FULFILLMENT MAGALU;141.1;196.08;8.01.01.15.18;Banheira de Bebê Smile Safety 1st Pink;VITRINE
FULFILLMENT AMAZON;159.45;225.25;8.01.01.15.18;Banheira de Bebê Smile Safety 1st Pink;VITRINE
FATURAMENTO VD RJ;336.38;475.2;8.01.01.16.18;Banheira de Bebê Smile com Suporte Pink - Safety 1st;VITRINE
FULFILLMENT AMAZON;336.38;475.2;8.01.01.16.18;Banheira de Bebê Smile com Suporte Pink - Safety 1st;VITRINE
FULFILLMENT MELI;336.38;475.2;8.01.01.16.18;Banheira de Bebê Smile com Suporte Pink - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;200.53;237.6;8.01.01.16.18;Banheira de Bebê Smile com Suporte Pink - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;336.38;475.2;8.01.01.16.18;Banheira de Bebê Smile com Suporte Safety 1st - Pink;VITRINE
FULFILLMENT AMAZON;336.38;475.2;8.01.01.16.18;Banheira de Bebê Smile com Suporte Safety 1st - Pink;VITRINE
FULFILLMENT MELI;336.38;475.2;8.01.01.16.18;Banheira de Bebê Smile com Suporte Safety 1st - Pink;VITRINE
FATURAMENTO VD RJ;129.38;182.78;8.01.01.17.10;Banheira Bubbles Safety 1st - Grey;VITRINE
FATURAMENTO VD RJ;129.38;182.78;8.01.01.17.10;Banheira de Bebê Bubbles Grey - Safety 1st;VITRINE
FATURAMENTO VD RJ;103.98;146.89;8.01.01.20.10;Banheira Infantil Retrátil Oasis White & Grey - Safety 1st;VITRINE
FATURAMENTO BBTOTAL ES;61.98;73.44;8.01.01.20.10;Banheira Infantil Retrátil Oasis White & Grey - Safety 1st;BB TOTAL
FATURAMENTO VD RJ;84.14;118.84;8.01.03.01.07;Banheira Dobrável Glub Voyage - Azul;VITRINE
FATURAMENTO VD RJ;84.14;118.84;8.01.03.01.07;Banheira Infantil Dobrável Glub até 30 Litros Azul - Voyage;VITRINE
FATURAMENTO BBTOTAL ES;50.15;59.42;8.01.03.02.18;Banheira Dobrável Glub Voyage - Rosa;BB TOTAL
FATURAMENTO VD RJ;84.14;118.84;8.01.03.02.18;Banheira Dobrável Glub Voyage - Rosa;VITRINE
FATURAMENTO BBTOTAL ES;50.15;59.42;8.01.03.02.18;Banheira Infantil Dobrável Glub até 30 Litros Rosa - Voyage;BB TOTAL
FATURAMENTO VD RJ;84.14;118.84;8.01.03.02.18;Banheira Infantil Dobrável Glub até 30 Litros Rosa - Voyage;VITRINE
FATURAMENTO VD RJ;131.24;185.39;8.01.03.03.06;Banheira Whippy Cosco Branca;VITRINE
FATURAMENTO VD RJ;131.24;185.39;8.01.03.03.06;Banheira de Bebê Whippy Branca - Cosco;VITRINE
FATURAMENTO VD RJ;131.24;185.39;8.01.03.04.01;Banheira Whippy Cosco Cinza;VITRINE
FATURAMENTO VD RJ;131.24;185.39;8.01.03.04.01;Banheira de Bebê Whippy Cinza - Cosco;VITRINE
FATURAMENTO VD RJ;52.8;74.58;8.01.04.01.10;Banheira Infantil Fold Up Branca e Cinza - Cosco;VITRINE
FATURAMENTO VD RJ;52.8;74.58;8.01.04.01.10;Banheira de Bebê Fold Up Branca e Cinza - Cosco;VITRINE
FATURAMENTO VD RJ;52.81;74.58;8.01.04.02.07;Banheira Infantil Fold Up Branca e Azul - Cosco;VITRINE
FATURAMENTO VD RJ;52.81;74.58;8.01.04.02.07;Banheira de Bebê Fold Up Branca e Azul - Cosco;VITRINE
FATURAMENTO VD RJ;136.1;156.22;8.01.103.01.10;Banheira Baby Happy Cinza Premium Baby;VITRINE
FATURAMENTO VD RJ;136.1;156.22;8.01.103.01.10;Banheira de Bebê Baby Happy Cinza - Premium Baby;VITRINE
FATURAMENTO VD RJ;136.1;156.22;8.01.103.02.11;Banheira Baby Happy Verde Premium Baby;VITRINE
FATURAMENTO VD RJ;136.1;156.22;8.01.103.02.11;Banheira de Bebê Baby Happy Verde - Premium Baby;VITRINE
FATURAMENTO BBTOTAL ES;78.11;78.11;8.01.103.02.11;Banheira de Bebê Baby Happy Verde - Premium Baby;BB TOTAL
FATURAMENTO VD RJ;136.1;156.22;8.01.103.03.07;Banheira Baby Happy Azul Premium Baby;VITRINE
FATURAMENTO VD RJ;136.1;156.22;8.01.103.03.07;Banheira de Bebê Baby Happy Azul - Premium Baby;VITRINE
FATURAMENTO VD RJ;74.34;85.33;8.01.182.01.10;Banheira de Bebê Dobrável Portátil Até 35 Litros com Almofada de Banho Cinza - Mollie Baby;VITRINE
FATURAMENTO VISUAL IN SP;75.46;98.55;8.01.182.01.10;Banheira de Bebê Dobrável Portátil Até 35 Litros com Almofada de Banho Cinza - Mollie Baby;VISUAL IN
FATURAMENTO VD RJ;163.1;187.22;8.01.182.02.10;Banheira de Bebê Dobrável Portátil até 35 Litros com Suporte e Almofada de Banho Cinza - Mollie Baby;VITRINE
FATURAMENTO VISUAL IN SP;165.59;216.23;8.01.182.02.10;Banheira de Bebê Dobrável Portátil até 35 Litros com Suporte e Almofada de Banho Cinza - Mollie Baby;VISUAL IN
FATURAMENTO VD RJ;284.6;399.5;8.01.23.01.10;Banheira de Bebê com Suporte Sicília Duo até 35 kg Branco e Cinza - Infanti;VITRINE
FATURAMENTO VD RJ;63.15;74.16;8.01.28.08.06;Suporte Para Banheira de Bebê Plástica Branca - Galzerano;VITRINE
FATURAMENTO VD ES;63.14;74.17;8.01.28.08.06;Suporte Para Banheira de Bebê Plástica Branca - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;37.31;37.31;8.01.28.08.06;Suporte Para Banheira de Bebê Plástica Branca - Galzerano;BB TOTAL
FATURAMENTO VD ES;45.79;54.25;8.01.28.10.06;Banheira de Bebê Plástica Branca - Galzerano;VITRINE
FATURAMENTO VD RJ;45.79;54.25;8.01.28.10.06;Banheira de Bebê Plástica Branca - Galzerano;VITRINE
FATURAMENTO VD ES;45.79;54.25;8.01.28.10.06;Banheira de Bebê Plástica Galzerano Branca;VITRINE
FATURAMENTO VD RJ;45.79;54.25;8.01.28.10.06;Banheira de Bebê Plástica Galzerano Branca;VITRINE
FATURAMENTO VD ES;45.79;54.25;8.01.28.10.06;Banheira de Bebê Plástica Sem Suporte Branca - Galzerano;VITRINE
FATURAMENTO VD RJ;45.79;54.25;8.01.28.10.06;Banheira de Bebê Plástica Sem Suporte Branca - Galzerano;VITRINE
FATURAMENTO VD RJ;116.88;138.48;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Branca - Galzerano;VITRINE
FATURAMENTO VD ES;116.88;138.48;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Branca - Galzerano;VITRINE
FULFILLMENT VISUAL IN;116.88;138.48;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Branca - Galzerano;VISUAL IN
FULFILLMENT MAGALU;115.1;130.8;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Branca - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;70.41;70.41;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Branca - Galzerano;BB TOTAL
FATURAMENTO VD RJ;116.88;138.48;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Galzerano Branca;VITRINE
FATURAMENTO VD ES;116.88;138.48;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Galzerano Branca;VITRINE
FULFILLMENT VISUAL IN;116.88;138.48;8.01.28.15.06;Banheira de Bebê Plástica Acqua Trio Galzerano Branca;VISUAL IN
FATURAMENTO VD ES;26.06;30.88;8.01.28.16.06;Redutor de Banheira de Bebê Plastica Galzerano Branco;VITRINE
FATURAMENTO VD RJ;26.06;30.88;8.01.28.16.06;Redutor de Banheira de Bebê Plastica Galzerano Branco;VITRINE
FATURAMENTO VD ES;26.06;30.88;8.01.28.16.06;Redutor de Banheira de Bebê Plásstica Branco - Galzerano;VITRINE
FATURAMENTO VD RJ;26.06;30.88;8.01.28.16.06;Redutor de Banheira de Bebê Plásstica Branco - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;11.52;15.29;8.01.28.16.06;Redutor de Banheira de Bebê Plásstica Branco - Galzerano;BB TOTAL
FATURAMENTO VD ES;252.63;299.33;8.01.28.18.10;Banheira de Bebê Plástica Premium Grafite - Galzerano;VITRINE
FATURAMENTO VD RJ;252.63;299.33;8.01.28.18.10;Banheira de Bebê Plástica Premium Grafite - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;147.65;147.65;8.01.28.18.10;Banheira de Bebê Plástica Premium Grafite - Galzerano;BB TOTAL
FATURAMENTO VD ES;252.63;299.33;8.01.28.18.10;Banheira para Bebê Plástica Premium Galzerano Grafite;VITRINE
FATURAMENTO VD ES;271.17;321.3;8.01.28.21.00;Banheira de Bebê Plástica Premium Sand - Galzerano;VITRINE
FULFILLMENT VISUAL IN;218.74;345.11;8.01.28.21.00;Banheira de Bebê Plástica Premium Sand - Galzerano;VISUAL IN
FATURAMENTO VD RJ;252.18;298.8;8.01.28.21.00;Banheira de Bebê Plástica Premium Sand - Galzerano;VITRINE
FULFILLMENT MAGALU;247.63;281.4;8.01.28.21.00;Banheira de Bebê Plástica Premium Sand - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;149.4;149.4;8.01.28.21.00;Banheira de Bebê Plástica Premium Sand - Galzerano;BB TOTAL
FATURAMENTO VD ES;271.17;321.3;8.01.28.21.00;Banheira para Bebê Plástica Premium Galzerano Sand;VITRINE
FULFILLMENT VISUAL IN;218.74;345.11;8.01.28.21.00;Banheira para Bebê Plástica Premium Galzerano Sand;VISUAL IN
FATURAMENTO VD ES;115.55;136.92;8.01.28.22.07;Banheira de Bebê Plástica Acqua Trio Azul Pastel - Galzerano;VITRINE
FULFILLMENT MAGALU;106.45;127.05;8.01.28.22.07;Banheira de Bebê Plástica Acqua Trio Azul Pastel - Galzerano;VITRINE
FATURAMENTO VD RJ;116.94;138.56;8.01.28.22.07;Banheira de Bebê Plástica Acqua Trio Azul Pastel - Galzerano;VITRINE
FULFILLMENT VISUAL IN;115.52;136.87;8.01.28.22.07;Banheira de Bebê Plástica Acqua Trio Azul Pastel - Galzerano;VISUAL IN
FATURAMENTO VD ES;115.55;136.92;8.01.28.22.07;Banheira para Bebê Plástica Acqua Trio Galzerano Azul Pastel;VITRINE
FULFILLMENT VISUAL IN;117.02;138.65;8.01.28.23.18;Banheira de Bebê Plástica Acqua Trio Rosa Pérola - Galzerano;VISUAL IN
FULFILLMENT MAGALU;106.58;133.46;8.01.28.23.18;Banheira de Bebê Plástica Acqua Trio Rosa Pérola - Galzerano;VITRINE
FATURAMENTO VD RJ;108.86;137.29;8.01.28.23.18;Banheira de Bebê Plástica Acqua Trio Rosa Pérola - Galzerano;VITRINE
FATURAMENTO VD ES;117.02;138.65;8.01.28.23.18;Banheira de Bebê Plástica Acqua Trio Rosa Pérola - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;70.5;70.5;8.01.28.23.18;Banheira de Bebê Plástica Acqua Trio Rosa Pérola - Galzerano;BB TOTAL
FULFILLMENT VISUAL IN;117.02;138.65;8.01.28.23.18;Banheira para Bebê Plástica Acqua Trio Galzerano Rosa Pérola;VISUAL IN
FULFILLMENT MAGALU;106.58;133.46;8.01.28.23.18;Banheira para Bebê Plástica Acqua Trio Galzerano Rosa Pérola;VITRINE
FATURAMENTO VD RJ;108.86;137.29;8.01.28.23.18;Banheira para Bebê Plástica Acqua Trio Galzerano Rosa Pérola;VITRINE
FATURAMENTO VD ES;117.02;138.65;8.01.28.23.18;Banheira para Bebê Plástica Acqua Trio Galzerano Rosa Pérola;VITRINE
FATURAMENTO VD RJ;251.73;298.22;8.01.28.24.95;Banheira de Bebê Plástica Premium Branca e Rosa - Galzerano;VITRINE
FATURAMENTO VD ES;251.73;298.22;8.01.28.24.95;Banheira de Bebê Plástica Premium Branca e Rosa - Galzerano;VITRINE
FULFILLMENT MAGALU;249.85;283.92;8.01.28.24.95;Banheira de Bebê Plástica Premium Branca e Rosa - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;149.11;149.11;8.01.28.24.95;Banheira de Bebê Plástica Premium Branca e Rosa - Galzerano;BB TOTAL
FULFILLMENT VISUAL IN;251.73;298.22;8.01.28.24.95;Banheira de Bebê Plástica Premium Branca e Rosa - Galzerano;VISUAL IN
FATURAMENTO VD RJ;251.73;298.22;8.01.28.24.95;Banheira de Bebê Plástica Premium Galzerano Branca e Rosa;VITRINE
FATURAMENTO VD ES;251.73;298.22;8.01.28.24.95;Banheira de Bebê Plástica Premium Galzerano Branca e Rosa;VITRINE
FATURAMENTO BBTOTAL ES;25.62;25.62;8.01.28.30.18;Banheira de Bebê Plástica Rosa Claro Perolado - Galzerano;BB TOTAL
FATURAMENTO VD ES;42.52;50.38;8.01.28.30.18;Banheira de Bebê Plástica Rosa Claro Perolado - Galzerano;VITRINE
FATURAMENTO VD ES;167.59;192.37;8.01.28.31.10;Banheira de Bebê Plástica Dobrável Branca e Cinza - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;72.45;96.19;8.01.28.31.10;Banheira de Bebê Plástica Dobrável Branca e Cinza - Galzerano;BB TOTAL
FATURAMENTO VD ES;107.26;123.12;8.01.28.32.10;Banheira de Bebê Plástica Koa Branca e Cinza - Galzerano;VITRINE
FATURAMENTO VD RJ;107.26;123.12;8.01.28.32.10;Banheira de Bebê Plástica Koa Branca e Cinza - Galzerano;VITRINE
FATURAMENTO BBTOTAL ES;64.62;64.62;8.01.28.32.10;Banheira de Bebê Plástica Koa Branca e Cinza - Galzerano;BB TOTAL
FATURAMENTO VD ES;117.62;139.37;8.01.28.33.18;Banheira de Bebê Plástica Acqua Trio Rose - Galzerano;VITRINE
FATURAMENTO VD RJ;117.63;139.37;8.01.28.33.18;Banheira de Bebê Plástica Acqua Trio Rose - Galzerano;VITRINE
FATURAMENTO VD ES;42.97;50.91;8.01.28.34.18;Banheira de Bebê Plástica Rose - Galzerano;VITRINE
FATURAMENTO VD RJ;42.97;50.91;8.01.28.34.18;Banheira de Bebê Plástica Rose - Galzerano;VITRINE
FATURAMENTO VD ES;236.89;280.69;8.01.39.02.06;Banheira de Bebê Millenia+ Burigotto Branca;VITRINE
FULFILLMENT VISUAL IN;236.89;280.69;8.01.39.02.06;Banheira de Bebê Millenia+ Burigotto Branca;VISUAL IN
FULFILLMENT MAGALU;271.32;308.31;8.01.39.02.06;Banheira de Bebê Millenia+ Burigotto Branca;VITRINE
FATURAMENTO BBTOTAL ES;140.35;140.35;8.01.39.02.06;Banheira de Bebê Millenia+ Burigotto Branca;BB TOTAL
FATURAMENTO VD ES;236.89;280.69;8.01.39.02.06;Banheira de Bebê Millenia+ até 20kg Branca - Burigotto;VITRINE
FULFILLMENT VISUAL IN;236.89;280.69;8.01.39.02.06;Banheira de Bebê Millenia+ até 20kg Branca - Burigotto;VISUAL IN
FULFILLMENT MAGALU;271.32;308.31;8.01.39.02.06;Banheira de Bebê Millenia+ até 20kg Branca - Burigotto;VITRINE
